id	package	surface	capability	parent	description
pi-agent-test-scenario-continues-and-processes-tool-results-d2ded5a676	agent	test-scenario	e2e.test		continues and processes tool results (packages/agent/test/e2e.test.ts:341)
pi-agent-test-scenario-copies-initial-entries-and-persists-leaf-changes-aac4e45874	agent	test-scenario	harness		copies initial entries and persists leaf changes (packages/agent/test/harness/storage.test.ts:17)
pi-agent-test-scenario-counts-utf-8-bytes-without-node-buffer-6adade29f0	agent	test-scenario	harness		counts UTF-8 bytes without Node Buffer (packages/agent/test/harness/truncate.test.ts:65)
pi-agent-test-scenario-covers-cut-point-and-turn-start-edge-cases-ceaca6359b	agent	test-scenario	harness		covers cut-point and turn-start edge cases (packages/agent/test/harness/compaction.test.ts:184)
pi-agent-test-scenario-creates-and-reads-session-metadata-from-the-head-4d0ebaef72	agent	test-scenario	harness		creates and reads session metadata from the header (packages/agent/test/harness/storage.test.ts:163)
pi-agent-test-scenario-creates-temporary-directories-and-files-2f71ab4916	agent	test-scenario	harness		creates temporary directories and files (packages/agent/test/harness/nodejs-env.test.ts:138)
pi-agent-test-scenario-does-not-prepare-compaction-when-there-is-nothin-aa9c362c81	agent	test-scenario	harness		does not prepare compaction when there is nothing valid to compact (packages/agent/test/harness/compaction.test.ts:426)
pi-agent-test-scenario-drains-follow-up-messages-one-at-a-time-after-th-953c4bdaba	agent	test-scenario	harness		drains follow-up messages one at a time after the agent would otherwise stop (packages/agent/test/harness/agent-harness.test.ts:219)
pi-agent-test-scenario-drains-one-queued-steering-message-at-a-time-and-fb334dd529	agent	test-scenario	harness		drains one queued steering message at a time and emits queue updates (packages/agent/test/harness/agent-harness.test.ts:89)
pi-agent-test-scenario-drops-an-oversized-trailing-character-when-it-ca-39b3756ace	agent	test-scenario	harness		drops an oversized trailing character when it cannot fit in tail byte limit (packages/agent/test/harness/truncate.test.ts:116)
pi-agent-test-scenario-emits-full-lifecycle-events-for-thrown-run-failu-25be1ac353	agent	test-scenario	agent.test		emits full lifecycle events for thrown run failures (packages/agent/test/agent.test.ts:126)
pi-agent-test-scenario-emits-lifecycle-updates-while-streaming-d39aea54ca	agent	test-scenario	e2e.test		emits lifecycle updates while streaming (packages/agent/test/e2e.test.ts:214)
pi-agent-test-scenario-escapes-xml-in-all-model-visible-skill-fields-26ef7555cc	agent	test-scenario	harness		escapes XML in all model-visible skill fields (packages/agent/test/harness/system-prompt.test.ts:52)
pi-agent-test-scenario-estimates-tokens-and-context-usage-across-suppor-978933633d	agent	test-scenario	harness		estimates tokens and context usage across supported message roles (packages/agent/test/harness/compaction.test.ts:237)
pi-agent-test-scenario-executes-commands-in-cwd-with-env-overrides-686cd71922	agent	test-scenario	harness		executes commands in cwd with env overrides (packages/agent/test/harness/nodejs-env.test.ts:193)
pi-agent-test-scenario-executes-tools-and-tracks-pending-tool-calls-ba876962b2	agent	test-scenario	e2e.test		executes tools and tracks pending tool calls (packages/agent/test/e2e.test.ts:186)
pi-agent-test-scenario-finds-a-cut-point-based-on-token-differences-958ca9a0e1	agent	test-scenario	harness		finds a cut point based on token differences (packages/agent/test/harness/compaction.test.ts:166)
pi-agent-test-scenario-finds-entries-by-type-1e0f23ab0e	agent	test-scenario	harness		finds entries by type (packages/agent/test/harness/storage.test.ts:219)
pi-agent-test-scenario-finds-entries-by-type-93381d0762	agent	test-scenario	harness		finds entries by type (packages/agent/test/harness/storage.test.ts:40)
pi-agent-test-scenario-formats-prompt-template-invocations-with-positio-c80e33af55	agent	test-scenario	harness		formats prompt template invocations with positional arguments (packages/agent/test/harness/resource-formatting.test.ts:19)
pi-agent-test-scenario-formats-skill-invocations-with-additional-instru-ffbcc0ca58	agent	test-scenario	harness		formats skill invocations with additional instructions (packages/agent/test/harness/resource-formatting.test.ts:6)
pi-agent-test-scenario-formats-visible-skills-in-order-and-skips-model--d6019c000b	agent	test-scenario	harness		formats visible skills in order and skips model-disabled skills (packages/agent/test/harness/system-prompt.test.ts:27)
pi-agent-test-scenario-forwards-sessionid-to-streamfn-options-acf172f4ff	agent	test-scenario	agent.test		forwards sessionId to streamFn options (packages/agent/test/agent.test.ts:674)
pi-agent-test-scenario-handles-a-basic-text-prompt-3149da98ab	agent	test-scenario	e2e.test		handles a basic text prompt (packages/agent/test/e2e.test.ts:180)
pi-agent-test-scenario-handles-abort-during-streaming-69db80f20c	agent	test-scenario	e2e.test		handles abort during streaming (packages/agent/test/e2e.test.ts:201)
pi-agent-test-scenario-honors-createdir-recursive-false-and-remove-recu-5326e24f14	agent	test-scenario	harness		honors createDir recursive false and remove recursive/force options (packages/agent/test/harness/nodejs-env.test.ts:148)
pi-agent-test-scenario-includes-previous-summaries-and-custom-instructi-86c0693af9	agent	test-scenario	harness		includes previous summaries and custom instructions in generateSummary prompts (packages/agent/test/harness/compaction.test.ts:487)
pi-agent-test-scenario-keeps-legacy-preparenextturn-signal-callback-beh-c95ce0405c	agent	test-scenario	agent.test		keeps legacy prepareNextTurn signal callback behavior (packages/agent/test/agent.test.ts:633)
pi-agent-test-scenario-lists-symlinks-as-symlinks-b77e9c30d5	agent	test-scenario	harness		lists symlinks as symlinks (packages/agent/test/harness/nodejs-env.test.ts:80)
pi-agent-test-scenario-loads-direct-markdown-children-only-from-the-roo-0bcccc095c	agent	test-scenario	harness		loads direct markdown children only from the root directory (packages/agent/test/harness/skills.test.ts:104)
pi-agent-test-scenario-loads-existing-entries-and-reconstructs-leaf-991cd6b9c2	agent	test-scenario	harness		loads existing entries and reconstructs leaf (packages/agent/test/harness/storage.test.ts:189)
pi-agent-test-scenario-loads-explicit-markdown-files-and-symlinked-file-046e47c69e	agent	test-scenario	harness		loads explicit markdown files and symlinked files (packages/agent/test/harness/prompt-templates.test.ts:68)
pi-agent-test-scenario-loads-markdown-templates-non-recursively-from-on-0ffcfac738	agent	test-scenario	harness		loads markdown templates non-recursively from one or more dirs (packages/agent/test/harness/prompt-templates.test.ts:13)
pi-agent-test-scenario-loads-skill-md-files-through-the-execution-envir-5bf38cea19	agent	test-scenario	harness		loads SKILL.md files through the execution environment (packages/agent/test/harness/skills.test.ts:9)
pi-agent-test-scenario-loads-skills-through-symlinked-directories-deafb22235	agent	test-scenario	harness		loads skills through symlinked directories (packages/agent/test/harness/skills.test.ts:38)
pi-agent-test-scenario-maintains-context-across-multiple-turns-acdfdd8aaf	agent	test-scenario	e2e.test		maintains context across multiple turns (packages/agent/test/e2e.test.ts:220)
pi-agent-test-scenario-maintains-label-lookup-9061c6b5e1	agent	test-scenario	harness		maintains label lookup (packages/agent/test/harness/storage.test.ts:53)
pi-agent-test-scenario-maintains-label-lookup-b90bfda3d4	agent	test-scenario	harness		maintains label lookup (packages/agent/test/harness/storage.test.ts:235)
pi-agent-test-scenario-matches-buffer-tail-truncation-semantics-across--1a83866c84	agent	test-scenario	harness		matches Buffer tail truncation semantics across deterministic fuzz cases (packages/agent/test/harness/truncate.test.ts:131)
pi-agent-test-scenario-matches-buffer-tail-truncation-semantics-for-sur-5cff9d6277	agent	test-scenario	harness		matches Buffer tail truncation semantics for surrogate edge cases (packages/agent/test/harness/truncate.test.ts:126)
pi-agent-test-scenario-normalizes-session-names-630540f2e5	agent	test-scenario	harness		normalizes session names (packages/agent/test/harness/session.test.ts:89)
pi-agent-test-scenario-opens-deletes-and-forks-by-metadata-1baf598992	agent	test-scenario	harness		opens, deletes, and forks by metadata (packages/agent/test/harness/repo.test.ts:9)
pi-agent-test-scenario-opens-deletes-and-forks-by-metadata-7a125f1566	agent	test-scenario	harness		opens, deletes, and forks by metadata (packages/agent/test/harness/repo.test.ts:47)
pi-agent-test-scenario-orders-pending-listener-session-writes-after-age-60fc8196d9	agent	test-scenario	harness		orders pending listener session writes after agent-emitted messages (packages/agent/test/harness/agent-harness.test.ts:358)
pi-agent-test-scenario-passes-reasoning-through-generatesummary-only-fo-0c34023019	agent	test-scenario	harness		passes reasoning through generateSummary only for reasoning models with thinking enabled (packages/agent/test/harness/compaction.test.ts:449)
pi-agent-test-scenario-passes-reasoning-through-turn-prefix-summaries-w-e103eaab78	agent	test-scenario	harness		passes reasoning through turn-prefix summaries when enabled (packages/agent/test/harness/compaction.test.ts:581)
pi-agent-test-scenario-persists-leaf-changes-and-appended-entries-via-s-228afbb77f	agent	test-scenario	harness		persists leaf changes and appended entries via storage (packages/agent/test/harness/session.test.ts:113)
pi-agent-test-scenario-prepares-compaction-using-the-latest-compaction--69c525c51e	agent	test-scenario	harness		prepares compaction using the latest compaction summary as previousSummary (packages/agent/test/harness/compaction.test.ts:351)
pi-agent-test-scenario-prepares-custom-and-branch-summary-entries-for-s-dd71adc840	agent	test-scenario	harness		prepares custom and branch summary entries for summarization (packages/agent/test/harness/compaction.test.ts:395)
pi-agent-test-scenario-prepares-split-turn-compaction-with-prior-file-o-bb1f4b4877	agent	test-scenario	harness		prepares split-turn compaction with prior file-operation details (packages/agent/test/harness/compaction.test.ts:367)
pi-agent-test-scenario-preserves-app-resource-types-for-getters-and-upd-01fcd12ed4	agent	test-scenario	harness		preserves app resource types for getters and update events (packages/agent/test/harness/agent-harness.test.ts:571)
pi-agent-test-scenario-preserves-app-tool-types-for-getters-and-update--16cab325e5	agent	test-scenario	harness		preserves app tool types for getters and update events (packages/agent/test/harness/agent-harness.test.ts:468)
pi-agent-test-scenario-preserves-source-info-for-sourced-prompt-templat-dcd7b9f3b2	agent	test-scenario	harness		preserves source info for sourced prompt templates (packages/agent/test/harness/prompt-templates.test.ts:31)
pi-agent-test-scenario-preserves-source-info-for-sourced-skills-60afa961af	agent	test-scenario	harness		preserves source info for sourced skills (packages/agent/test/harness/skills.test.ts:54)
pi-agent-test-scenario-preserves-thinking-content-blocks-e1e41d1fad	agent	test-scenario	e2e.test		preserves thinking content blocks (packages/agent/test/e2e.test.ts:236)
